total words: 10049, frequent words (> 100): 1273, cutoff: 0.002
top words: 20, super top words: 2, cutoff: 0.1
#POLYSEMOUS TERMS
	[ABORTUS, Assessment_Section, Percent_Unit, Androgen_Response_Element, Abortus, Left_Arm]
cisterna ambien	[Quadrigeminal_Cistern, Ambient_Cistern]
cranial nerv	[Olfactory_Nerve, Cranial_Nerve]
glioma astrocyt	[Astrocytic_Tumor, Astrocytoma]
multicatalyt endopeptidas complex	[20S_Proteasome, Proteasome]
set medullari pyramid	[Renal_Pyramid, Renal_Medulla]
fibroid uteru	[Leiomyoma, Uterine_Corpus_Leiomyoma]
thyroid gland tissu	[Thyroid_Gland_Tissue, Thyroid_Gland]
precursor cell lymphoblast leukaemia	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
acut lymphoblast leukaemia	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
accessori nasal sinu	[Sinus, Paranasal_Sinus, Nasal_Cavity]
lymphoma b cell margin zone	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma]
plasma cell tumor	[Solitary_Plasmacytoma, Plasmacytoma]
schwannian stroma domin peripher neuroblast neoplasm	[Gangliocytoma, Ganglioneuroma]
gist gastrointestin stromal tumor	[Gastrointestinal_Stromal_Tumor, Malignant_Gastrointestinal_Stromal_Tumor]
lymphocyt leukemia chronic b	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
structur prostat utricl	[Utricle, Prostatic_Utricle]
nerv olfactori	[Olfactory_Nerve, Cranial_Nerve]
scan x rai ct	[Computed_Tomography, Tomography]
chronic lymphocyt leukemia b cell type no	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
corpu uteri fibroid	[Leiomyoma, Uterine_Corpus_Leiomyoma]
sante sisseton	[Dakota, Sioux]
bone	[Bone_Tissue, Bone]
labyrinth	[Inner_Ear, Cochlea]
region dorsali	[Back, Dorsum]
microfilamentum	[Myofilament, Actin_Filament]
sacrum	[Sacrum, Sacral_Bone]
actin microfila	[Myofilament, Actin_Filament]
cranial caviti structur	[Cranial_Cavity, Skull]
germinoblast sarcoma	[Centroblastic_Lymphoma, Lymphoma]
accessori lacrim gland	[Gland_of_Krause, Accessory_Lacrimal_Gland]
structur anal gland bodi	[Circumanal_Gland, Anal_Gland]
entir pulmonari acinu bodi structur	[Pulmonary_Lobule, Pulmonary_Acinus]
vocal cord structur bodi	[True_Vocal_Cord, Vocal_Cord]
chronic lymphocyt leukaemia	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
local region	[RegionalRecurrence, LocalRecurrence]
joint intercarp	[Wrist_Joint, Carpal_Joint]
adenocarcinoma renal	[Papillary_Renal_Cell_Carcinoma, Renal_Cell_Carcinoma]
gangliocytoma	[Gangliocytoma, Ganglioneuroma]
nephroma	[Kidney_Wilms_Tumor, Wilms_Tumor]
lymph node hepat	[Portal_Lymph_Node, Hepatic_Lymph_Node]
buccal mucosa	[Buccal_Mucosa, Oral_Mucosa]
mastectomi total	[Total_Mastectomy, Mastectomy]
giant cell fibroblastoma skin disord	[Dermatofibrosarcoma_Protuberans, Giant_Cell_Fibroblastoma]
lower limb structur	[Lower_Extremity, Leg]
rectosigmoid region	[Rectosigmoid_Region, Rectosigmoid_Colon]
mesothelioma malign morpholog abnorm	[Malignant_Mesothelioma, Mesothelioma]
lymphoblast leukemia chronic	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
astroglioma	[Astrocytic_Tumor, Astrocytoma]
true cord	[True_Vocal_Cord, Vocal_Cord]
joint ankl	[Ankle_Joint, Ankle_Mortise]
structur prostat utricl bodi	[Utricle, Prostatic_Utricle]
20s core proteasom	[20S_Proteasome, Proteasome]
preputi skin	[Prepuce, Male_Prepuce]
leiomyoma corpu uteri	[Leiomyoma, Uterine_Corpus_Leiomyoma]
digger languag	[Konkow, Digger]
cisterna vena magna cerebri	[Quadrigeminal_Cistern, Ambient_Cistern]
radiolog report	[Radiology_report, RadiographicStudies_Section]
bile duct cancer	[Bile_Duct_Carcinoma, Bile_Duct_Adenocarcinoma]
betatron electron teletherapi	[Electron_Beam_Therapy, Photon_Beam_Radiation_Therapy]
endocytot vesicl	[Early_Endosome, Endocytotic_Vesicle]
burkitt lymphoma	[Atypical_Burkitt_Burkitt_Like_Lymphoma, Burkitt_Lymphoma, Burkitt_Leukemia]
phyllod tumor breast borderlin	[Breast_Phyllodes_Tumor, Borderline_Breast_Phyllodes_Tumor]
lymphoma small lymphocyt	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
malign neoplasm	[Malignant_Neoplasm, Cancer]
gen us	[Diagnostic_Ultrasound, Ultrasonography]
extern ear structur	[Auricle, External_Ear]
adenoid cystic cancer	[Cylindroma, Adenoid_Cystic_Carcinoma]
therapeut plan	[TherapeuticPlan_Section, Plan_Section]
myenter nerv plexu	[Submucous_Nerve_Plexus, Myenteric_Nerve_Plexus]
membran cell	[Plasma_Membrane, Cellular_Membrane]
musculari propria bodi structur	[Muscle_Layer, Muscularis_Propria]
osteochondrosarcoma	[Osteosarcoma, Chondroblastic_Osteosarcoma]
structur paranas sinu caviti	[Sinus, Paranasal_Sinus, Nasal_Cavity]
computer transvers axial tomogram	[Computed_Tomography, Tomography]
inguin lymph node structur	[Femoral_Lymph_Node, Inguinal_Lymph_Node]
plasmacytoma no	[Solitary_Plasmacytoma, Plasmacytoma]
other diagnosi	[SecondaryDiagnoses_Section, OtherDiagnosis_Section]
nodal margin zone lymphoma	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma]
malpighian corpuscl	[Splenic_White_Pulp, Splenic_Pulp]
tomographi	[Computed_Tomography, Tomography]
groin lymph node	[Femoral_Lymph_Node, Inguinal_Lymph_Node]
lymphocyt lymphoma	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
b cll cell chronic lymphocyt leukemia	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
contracept oral	[Oral_Contraceptive, Oral_Contraceptive_Preparation]
perihepat lymph node	[Portal_Lymph_Node, Hepatic_Lymph_Node]
set intercarp joint	[Wrist_Joint, Carpal_Joint]
lymphoplasmacytoid lymphoma cll	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
test	[Testis, LaboratoryAndRadiologyData_Section, Posterior_Quadrigeminal_Body]
leukemia lymphocyt acut	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
spleen tissu	[Spleen, Splenic_Tissue]
common hepat duct	[Hepatic_Duct, Common_Hepatic_Duct]
c t scan no	[Computed_Tomography, Tomography]
oncolog	[OncologyCourse_Section, OncologyPlan_Section]
malign lymphoma small noncleav burkitt diffus	[Burkitt_Lymphoma, Burkitt_Leukemia]
lymphocyt leukemia l3	[Burkitt_Lymphoma, Burkitt_Leukemia]
extramedullari myeloid tumor	[Myeloid_Sarcoma, Granulocytic_Sarcoma]
vocal cord no	[True_Vocal_Cord, Vocal_Cord]
oral mucosa	[Buccal_Mucosa, Oral_Mucosa]
musculu tricep brachii	[Triceps_Brachii, Triceps]
sever	[Severity, Severe]
nasal sinu structur bodi	[Sinus, Paranasal_Sinus, Nasal_Cavity]
tibiofibular joint inferior	[Ankle_Joint, Ankle_Mortise]
gland pineal	[Pineal_Gland, Pineal_Parenchyma]
precursor cell lymphoblast leukemia not phenotyp	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
cancer morpholog	[Malignant_Neoplasm, Cancer]
computeris tomogram	[Computed_Tomography, Tomography]
malign mesotheli neoplasm	[Malignant_Mesothelioma, Mesothelioma]
structur intercarp joint bodi	[Wrist_Joint, Carpal_Joint]
acut myeloid leukaemia multilineag dysplasia	[Acute_Myeloid_Leukemia_with_Myelodysplasia_Related_Changes, Acute_Myeloid_Leukemia_with_Multilineage_Dysplasia]
cartilag	[Cartilage, Cartilaginous_Tissue]
ahahnelin	[Gros_Ventres, Atsina]
labyrinth ear	[Inner_Ear, Cochlea]
comput tomographi transmiss	[Computed_Tomography, Tomography]
tonsillar structur palatin	[Tonsil, Palatine_Tonsil]
cancer green	[Myeloid_Sarcoma, Granulocytic_Sarcoma]
acut lymphoid leukaemia	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
entir paraurethr gland	[Skene_Gland, Paraurethral_Gland]
structur germin center lymph node bodi	[Lymph_Node_Germinal_Center, Germinal_Center]
superior cistern	[Quadrigeminal_Cistern, Ambient_Cistern]
submuc nerv plexu	[Submucous_Nerve_Plexus, Myenteric_Nerve_Plexus]
emi scan	[Computed_Tomography, Tomography]
acut lymphoblast leukemia precursor cell type	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
non hair bear lip	[Labial_Mucosa, Mucosa_of_the_Lip]
havasupai	[Havasupai, Yavapai]
acut lymphat leukaemia	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
tooth socket	[Alveolus, Tooth_Socket]
infiltr duct carcinoma breast disord	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
unclassifi tumour malign	[Malignant_Neoplasm, Cancer]
stereotact extern beam irradi	[Radiosurgery, Stereotactic_Radiosurgery]
recurr	[Recurrent_Tumor, Recurrent]
anterolater part thorax	[Chest, Thorax]
cylindroma except skin m 82000	[Cylindroma, Adenoid_Cystic_Carcinoma]
earli endosom	[Early_Endosome, Endocytotic_Vesicle]
human anal gland	[Circumanal_Gland, Anal_Gland]
accessori sinus	[Sinus, Paranasal_Sinus, Nasal_Cavity]
famili dermatofibrosarcoma protuberan	[Dermatofibrosarcoma_Protuberans, Giant_Cell_Fibroblastoma]
labyrinth structur	[Inner_Ear, Cochlea]
auricular region head	[Auricle, External_Ear]
solitari plasmacytoma	[Solitary_Plasmacytoma, Plasmacytoma]
giant cell fibroblastoma morpholog abnorm	[Dermatofibrosarcoma_Protuberans, Giant_Cell_Fibroblastoma]
tomographi x rai comput assist	[Computed_Tomography, Tomography]
collagen fibril	[Collagen_Fibril, Collagen_Fiber]
renal cell carcinoma papillari	[Papillary_Renal_Cell_Carcinoma, Renal_Cell_Carcinoma]
nephroblastoma morpholog abnorm	[Kidney_Wilms_Tumor, Wilms_Tumor]
bodi corpu callosum	[Body_of_the_Corpus_Callosum, Corpus_Callosum]
infiltr duct adenocarcinoma	[Ductal_Breast_Carcinoma, Invasive_Ductal_Carcinoma_Not_Otherwise_Specified]
leukaemia acut lymphocyt	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
gastrointestin stromal tumor disord	[Gastrointestinal_Stromal_Tumor, Malignant_Gastrointestinal_Stromal_Tumor]
breast cancer	[Breast_Cancer, Breast_Carcinoma]
atyp burkitt lymphoma	[Atypical_Burkitt_Burkitt_Like_Lymphoma, Burkitt_Lymphoma]
mesotheli sarcoma	[Malignant_Mesothelioma, Mesothelioma]
chronic idiopath xanthomatosi	[Langerhans_Cell_Histiocytosis, Hand_Schuller_Christian_Disease]
lymphoma mucosa assoc lymphoid tissu	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma]
filament contractil apparatu cell structur	[Myofilament, Actin_Filament]
radiosurgeri	[Radiosurgery, Stereotactic_Radiosurgery]
cisterna colliculorum	[Quadrigeminal_Cistern, Ambient_Cistern]
talocrur joint	[Ankle_Joint, Ankle_Mortise]
radiosurgeri stereotact	[Radiosurgery, Stereotactic_Radiosurgery]
mediastin structur bodi	[Mediastinal, Mediastinum]
plexu nervosu submucosu	[Submucous_Nerve_Plexus, Myenteric_Nerve_Plexus]
rectosigmoid junction	[Rectosigmoid_Region, Rectosigmoid_Colon]
childhood burkitt lymphoma	[Burkitt_Lymphoma, Burkitt_Leukemia]
proteasom endopeptidas complex	[20S_Proteasome, Proteasome]
reticuloendotheliosi system aleukem	[Langerhans_Cell_Histiocytosis, Letterer_Siwe_Disease]
renal cell carcinoma stage unspecifi	[Papillary_Renal_Cell_Carcinoma, Renal_Cell_Carcinoma]
hepat lymph node	[Portal_Lymph_Node, Hepatic_Lymph_Node]
skin cancer melanoma	[Cutaneous_Melanoma, Melanoma]
anaplast oligodendroglioma grade iii	[Anaplastic_Oligodendroglioma, Oligodendroglioma]
cardiac vein	[Cardiac_Vein, Coronary_Vein]
vertebra lumbal li lv	[Lumbar_Spine, Lumbar_Vertebra]
b cell chronic lymphogen leukemia	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
leukemia lymphoid acut	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
vesicl secretori	[Secretory_Vesicle, Secretory_Granule]
acut myeloid leukemia no	[Acute_Myeloid_Leukemia_Not_Otherwise_Specified, Acute_Myeloid_Leukemia]
back structur includ neck	[Back, Dorsum]
computer tomogram	[Computed_Tomography, Tomography]
ahtena	[Ahtna, Copper_River]
tomographi comput	[Computed_Tomography, Tomography]
first molar	[Tooth_30, Tooth_19]
leukemia myeloid schill type	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
broad ligament structur	[Lateral_Ligament, Broad_Ligament]
nuclear pore	[Nuclear_Pore, Nuclear_Pore_Complex]
gastrointestin stromal tumor no	[Gastrointestinal_Stromal_Tumor, Malignant_Gastrointestinal_Stromal_Tumor]
wrist	[Wrist_Joint, Carpal_Region]
scott vallei indian	[Scotts_Valley, Scott_Valley]
z 2 4 1 diphenyl butenyl phenoxi n dimethylethanamin hydroxi 3 propanetricarboxyl	[Tamoxifen_Citrate, Tamoxifen]
set cervic vertebra	[Cervical_Spine, Cervical_Vertebra]
precursor cell lymphoblast leukemia no	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
chronic lymphocyt leukaemia b cell type	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
b cell chronic lymphocyt leukemia small lymphoma	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
structur cardiac vein	[Cardiac_Vein, Coronary_Vein]
acut lymphoblast leukemia all	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
subcutan tissu structur bodi	[Superficial_Fascia, Subcutis]
medulla renali	[Renal_Pyramid, Renal_Medulla]
extranod margin zone b cell lymphoma mucosa associ lymphoid tissu disord	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma]
plasma membran lipid bilay	[Plasma_Membrane, Cellular_Membrane]
kidnei medulla	[Renal_Pyramid, Renal_Medulla]
leukemia burkitt	[Burkitt_Lymphoma, Burkitt_Leukemia]
acut monocyt leukemia fab m5b	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
cat scan	[Computed_Tomography, Tomography]
comput tomographi	[Computed_Tomography, Tomography]
pharynx no	[Throat, Pharynx]
set teeth	[Dentition, Tooth]
low grade malign breast phyllod tumor	[Breast_Phyllodes_Tumor, Borderline_Breast_Phyllodes_Tumor]
capillarti	[Capillary, Blood_Capillary]
sante	[Dakota, Sioux]
set cartilag	[Cartilage, Cartilaginous_Tissue]
muscular	[Muscle_Tissue, Muscle]
clear cell ependymoma	[Clear_Cell_Ependymoma, Cellular_Ependymoma]
leiomyoma uteru d25	[Leiomyoma, Uterine_Corpus_Leiomyoma]
endocyt vesicl	[Early_Endosome, Endocytotic_Vesicle]
leukaemia chronic lymphocyt	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
tissu subcutan	[Superficial_Fascia, Subcutis]
broad uterin ligament	[Lateral_Ligament, Broad_Ligament]
small intestin wall tissu	[Small_Intestine, Small_Intestinal_Wall_Tissue]
lymphoma well differenti lymphocyt	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
leukemia monocyt malign	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
scleros rhabdomyosarcoma	[Spindle_Cell_Rhabdomyosarcoma, Sclerosing_Rhabdomyosarcoma]
macula	[Macula_Lutea, Macula_Densa]
tumor malign	[Malignant_Neoplasm, Cancer]
white clai peopl	[Gros_Ventres, Atsina]
carcinoma renal cell malign	[Papillary_Renal_Cell_Carcinoma, Renal_Cell_Carcinoma]
dakhota	[Dakota, Sioux]
boni tissu	[Bone_Tissue, Bone]
muscl tissu bodi structur	[Muscle_Tissue, Muscle]
nodi lymphoidei hepatici	[Portal_Lymph_Node, Hepatic_Lymph_Node]
diffus well differ lymphocyt lymphoma	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
nephroblastoma no	[Kidney_Wilms_Tumor, Wilms_Tumor]
nhl burkitt	[Burkitt_Lymphoma, Burkitt_Leukemia]
structur common peron nerv	[Peroneal_Nerve, Common_Peroneal_Nerve]
carcinoma renal cell diseas find	[Papillary_Renal_Cell_Carcinoma, Renal_Cell_Carcinoma]
nervu olfactoriu	[Olfactory_Nerve, Cranial_Nerve]
duct common hepat	[Hepatic_Duct, Common_Hepatic_Duct]
b cell chronic lymphocyt leukemia small lymphoma morpholog abnorm	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
gastrointestin stromal tumor malign	[Gastrointestinal_Stromal_Tumor, Malignant_Gastrointestinal_Stromal_Tumor]
breast cancer pn0 i tnm find	[Breast_Cancer_pN0_i_minus_TNM_Finding, Breast_Cancer_pN0_i_plus_TNM_Finding]
structur subcarin lymph node	[Subcarinal_Lymph_Node, Tracheobronchial_Lymph_Node]
fibroid uterin corpu	[Leiomyoma, Uterine_Corpus_Leiomyoma]
muscl tissu	[Muscle_Tissue, Muscle]
acut myeloid leukemia not otherwis categor	[Acute_Myeloid_Leukemia_Not_Otherwise_Specified, Acute_Myeloid_Leukemia]
uterin corpu leiomyomata	[Leiomyoma, Uterine_Corpus_Leiomyoma]
ascend colon structur	[Right_Colon, Ascending_Colon]
scott vallei	[Scotts_Valley, Scott_Valley]
structur common peron nerv bodi	[Peroneal_Nerve, Common_Peroneal_Nerve]
colon ascenden	[Right_Colon, Ascending_Colon]
adenoid cystic carcinoma	[Cylindroma, Adenoid_Cystic_Carcinoma]
precursor t cell lymphoblast leukemia lymphoma	[T_Lymphoblastic_Leukemia_Lymphoma, T_Acute_Lymphoblastic_Leukemia]
ahtena languag	[Ahtna, Copper_River]
parathyroid gland tissu	[Parathyroid_Gland_Tissue, Parathyroid_Gland]
set inferior tracheobronchi lymph node	[Subcarinal_Lymph_Node, Tracheobronchial_Lymph_Node]
proteasom	[20S_Proteasome, Proteasome]
brain thalamu	[Thalamencephalon, Thalamus]
leiomyoma no intern classif diseas oncolog subtyp	[Leiomyoma, Uterine_Corpus_Leiomyoma]
medulla kidnei	[Renal_Pyramid, Renal_Medulla]
tonsil palatin	[Tonsil, Palatine_Tonsil]
cistern great cerebr vein	[Quadrigeminal_Cistern, Ambient_Cistern]
true vocal cord	[True_Vocal_Cord, Vocal_Cord]
ct computer tomographi	[Computed_Tomography, Tomography]
chronic b lymphocyt leukemia	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
radiographi	[Radiography, RadiographicStudies_Section]
sarcoma granulocyt	[Myeloid_Sarcoma, Granulocytic_Sarcoma]
epiglotti	[Epiglottis, Epiglottic_Cartilage]
stereotact radiat therapi	[Radiosurgery, Stereotactic_Body_Radiation_Therapy, Stereotactic_Radiosurgery]
olfactori nerv set	[Olfactory_Nerve, Cranial_Nerve]
structur hippocamp fissur	[Hippocampal_Sulcus, Hippocampal_Fissure]
gland parathyroid	[Parathyroid_Gland_Tissue, Parathyroid_Gland]
gland skene	[Skene_Gland, Paraurethral_Gland]
wilm tumor 1	[Kidney_Wilms_Tumor, Wilms_Tumor]
mesothelioma	[Malignant_Mesothelioma, Mesothelioma]
leukemia acut monocyt	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
ligament broad	[Lateral_Ligament, Broad_Ligament]
kidnei carcinosarcoma embryon	[Kidney_Wilms_Tumor, Wilms_Tumor]
b cell chronic lymphoid leukemia	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
tomographi x rai comput	[Computed_Tomography, Tomography]
lymphoma lymphocyt well differ	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
mucosa assoc lymphoid tissu lymphoma	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma]
acut lymphoid leukemia diseas	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
carotid arteri common	[Common_Carotid_Artery, Carotid_Artery]
lumbar vertebra set	[Lumbar_Spine, Lumbar_Vertebra]
impress	[ImagingImpression_Section, Assessment_Section]
ground substanc cytosol	[Cytoplasmic_Matrix, Ground_Substance, Cytosol]
leukemia acut lymphocyt	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
borderlin phyllod neoplasm breast	[Breast_Phyllodes_Tumor, Borderline_Breast_Phyllodes_Tumor]
extrem upper	[Upper_Extremity, Arm]
nerv first cranial	[Olfactory_Nerve, Cranial_Nerve]
esophagu mucosa	[Esophageal_Mucosa, Esophageal_Muscularis_Mucosa]
spindl cell rhabdomyosarcoma morpholog abnorm	[Spindle_Cell_Rhabdomyosarcoma, Sclerosing_Rhabdomyosarcoma]
malign growth	[Malignant_Neoplasm, Cancer]
gland human anal	[Circumanal_Gland, Anal_Gland]
imag	[Imaging_Technique, Diagnostic_Imaging, RadiographicStudies_Section]
cartilag set	[Cartilage, Cartilaginous_Tissue]
lumbar vertebr column	[Lumbar_Spine, Lumbar_Vertebra]
cytoskeleton actin	[Myofilament, Actin_Filament]
inferior tibiofibular joint	[Ankle_Joint, Ankle_Mortise]
gravida	[GRAVIDA, Gravida]
paranas sinus	[Sinus, Paranasal_Sinus, Nasal_Cavity]
leukemia chronic b cell	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
mucosa esophagu	[Esophageal_Mucosa, Esophageal_Muscularis_Mucosa]
non hodgkin lymphoma burkitt	[Burkitt_Lymphoma, Burkitt_Leukemia]
inguin lymph node group	[Femoral_Lymph_Node, Inguinal_Lymph_Node]
entir paraurethr gland bodi structur	[Skene_Gland, Paraurethral_Gland]
sarcoma myeloid malign	[Myeloid_Sarcoma, Granulocytic_Sarcoma]
phyllod tumour breast	[Breast_Phyllodes_Tumor, Borderline_Breast_Phyllodes_Tumor]
breast tissu	[Mammary_Gland_Tissue, Mammary_Gland]
cat computeris axial tomographi	[Computed_Tomography, Tomography]
para	[PARA, Parity]
membran plasma	[Plasma_Membrane, Cellular_Membrane]
ultrasound	[Diagnostic_Ultrasound, Ultrasonography]
portion cytosol	[Cytoplasmic_Matrix, Ground_Substance, Cytosol]
superior member	[Upper_Extremity, Arm]
computeris transvers axial tomogram	[Computed_Tomography, Tomography]
extrnod mrgnl zn b cell lymph mucosa assoc lymphoid tiss	[Extranodal_Marginal_Zone_Lymphoma_of_Mucosa_Associated_Lymphoid_Tissue, Nodal_Marginal_Zone_Lymphoma]
tenino languag	[Tenino, Warm_Springs]
leukemia schill type myeloid	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
malign tumor mesothelium	[Malignant_Mesothelioma, Mesothelioma]
teleradiotherapi us electron	[Electron_Beam_Therapy, Photon_Beam_Radiation_Therapy]
carcinoma head neck	[Head_and_Neck_Squamous_Cell_Carcinoma, Head_and_Neck_Carcinoma]
fab m5b	[Acute_Monocytic_Leukemia, Acute_Monoblastic_Leukemia]
cartilag tissu	[Cartilage, Cartilaginous_Tissue]
astrocyt tumor	[Astrocytic_Tumor, Astrocytoma]
nuclear pore complex locat	[Nuclear_Pore, Nuclear_Pore_Complex]
appear	[Appearance_Section, GeneralExam_Section]
x rai tomographi comput	[Computed_Tomography, Tomography]
bodi weight mass pt patient qn	[Body_Weight, Weight]
ganglioneuroma morpholog abnorm	[Gangliocytoma, Ganglioneuroma]
b cell chronic lymphocyt leukaemia small lymphoma	[Small_Lymphocytic_Lymphoma, Chronic_Lymphocytic_Leukemia]
gastrointestin pacemak cell tumor	[Gastrointestinal_Stromal_Tumor, Malignant_Gastrointestinal_Stromal_Tumor]
acut lymphoid leukemia	[Lymphoblastic_Lymphoma, Acute_Lymphoblastic_Leukemia]
digitu minimu quintu v	[Foot_Digit_5, Hand_Digit_5]
malign neoplasm without specif site	[Malignant_Neoplasm, Cancer]
pulmonari lobul	[Pulmonary_Lobule, Pulmonary_Acinus]
simpl mastectomi procedur	[Total_Mastectomy, Mastectomy]
lymph gland	[Lymph_Node_Tissue, Lymph_Node]
cystic carcinoma adenoid	[Cylindroma, Adenoid_Cystic_Carcinoma]
